#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_002516.2",41113,42801,"+",879196,,"PA0040","NP_248730.1",562,"hypothetical protein PA0040"
"chromosome","NC_002516.2",42914,53521,"+",878601,,"PA0041","NP_248731.1",3535,"hemagglutinin"
"chromosome","NC_002516.2",54121,54822,"+",17373337,,"PA0041a","YP_008719729.1",233,"transposase"
"chromosome","NC_002516.2",56546,56941,"+",878502,,"PA0042","NP_248732.1",131,"hypothetical protein PA0042"
"chromosome","NC_002516.2",57212,58594,"-",878401,,"PA0043","NP_248733.1",460,"hypothetical protein PA0043"
"chromosome","NC_002516.2",58786,60159,"+",878350,"exoT","PA0044","NP_248734.1",457,"exoenzyme T"
"chromosome","NC_002516.2",60656,61342,"+",878300,,"PA0045","NP_248735.1",228,"hypothetical protein PA0045"
"chromosome","NC_002516.2",61373,61726,"+",878290,,"PA0046","NP_248736.1",117,"hypothetical protein PA0046"
"chromosome","NC_002516.2",61879,62388,"+",877928,,"PA0047","NP_248737.1",169,"hypothetical protein PA0047"
"chromosome","NC_002516.2",62403,62786,"-",877666,,"PA0048","NP_248738.1",127,"transcriptional regulator"
"chromosome","NC_002516.2",63068,64729,"-",877595,,"PA0049","NP_248739.1",553,"hypothetical protein PA0049"
"chromosome","NC_002516.2",65339,65479,"+",878575,,"PA0050","NP_248740.1",46,"hypothetical protein PA0050"
"chromosome","NC_002516.2",66303,68135,"+",878637,"phzH","PA0051","NP_248741.1",610,"phenazine-modifying protein"
"chromosome","NC_002516.2",68188,68616,"-",877739,,"PA0052","NP_248742.1",142,"hypothetical protein PA0052"
"chromosome","NC_002516.2",69543,70091,"-",878088,,"PA0054","NP_248744.1",182,"RNA 2\\'-phosphotransferase-like protein"
"chromosome","NC_002516.2",70130,70636,"-",877862,,"PA0055","NP_248745.1",168,"hypothetical protein PA0055"
"chromosome","NC_002516.2",70702,71622,"-",877984,,"PA0056","NP_248746.1",306,"transcriptional regulator"
"chromosome","NC_002516.2",71730,72617,"+",878150,,"PA0057","NP_248747.1",295,"hypothetical protein PA0057"
"chromosome","NC_002516.2",72680,73384,"+",880931,,"PA0058","NP_248748.1",234,"hypothetical protein PA0058"
"chromosome","NC_002516.2",73468,73923,"+",878070,"osmC","PA0059","NP_248749.1",151,"osmotically inducible protein OsmC"
"chromosome","NC_002516.2",74034,74267,"+",880900,,"PA0060","NP_248750.1",77,"hypothetical protein PA0060"
"chromosome","NC_002516.2",74279,74716,"-",877992,,"PA0061","NP_248751.1",145,"hypothetical protein PA0061"
"chromosome","NC_002516.2",74773,75189,"-",878228,,"PA0062","NP_248752.1",138,"hypothetical protein PA0062"
"chromosome","NC_002516.2",75281,76408,"+",877630,,"PA0063","NP_248753.1",375,"hypothetical protein PA0063"
"chromosome","NC_002516.2",76416,77399,"-",878385,,"PA0064","NP_248754.1",327,"hypothetical protein PA0064"
"chromosome","NC_002516.2",77432,78097,"-",878495,,"PA0065","NP_248755.1",221,"5\\'-nucleotidase"
"chromosome","NC_002516.2",78090,78632,"-",879179,,"PA0066","NP_248756.1",180,"hypothetical protein PA0066"
"chromosome","NC_002516.2",78710,80755,"+",878482,"prlC","PA0067","NP_248757.1",681,"oligopeptidase A"
"chromosome","NC_002516.2",80752,81027,"+",878318,,"PA0068","NP_248758.1",91,"hypothetical protein PA0068"
"chromosome","NC_002516.2",81116,82174,"+",878366,,"PA0069","NP_248759.1",352,"hypothetical protein PA0069"
"chromosome","NC_002516.2",82404,83318,"-",879190,,"PA0070","NP_248760.1",304,"hypothetical protein PA0070"
"chromosome","NC_002516.2",83380,85092,"-",879195,,"PA0071","NP_248761.1",570,"hypothetical protein PA0071"
"chromosome","NC_002516.2",85085,86284,"-",879189,,"PA0072","NP_248762.1",399,"hypothetical protein PA0072"
"chromosome","NC_002516.2",86284,87003,"-",878396,,"PA0073","NP_248763.1",239,"ABC transporter ATP-binding protein"
"chromosome","NC_002516.2",87000,90098,"-",879361,"ppkA","PA0074","NP_248764.1",1032,"serine/threonine protein kinase PpkA"
"chromosome","NC_002516.2",90106,90834,"-",879341,"pppA","PA0075","NP_248765.1",242,"serine/threonine phosphatase"
"chromosome","NC_002516.2",90844,91524,"-",879335,,"PA0076","NP_248766.1",226,"hypothetical protein PA0076"
"chromosome","NC_002516.2",91521,94826,"-",879396,"icmF1","PA0077","NP_248767.1",1101,"type VI secretion protein IcmF"
"chromosome","NC_002516.2",95048,96397,"-",879392,,"PA0078","NP_248768.1",449,"hypothetical protein PA0078"
"chromosome","NC_002516.2",96404,97738,"-",879382,,"PA0079","NP_248769.1",444,"hypothetical protein PA0079"
"chromosome","NC_002516.2",97754,98218,"-",879436,,"PA0080","NP_248770.1",154,"hypothetical protein PA0080"
"chromosome","NC_002516.2",98263,99756,"-",879413,"fha1","PA0081","NP_248771.1",497,"Fha domain-containing protein"
"chromosome","NC_002516.2",100124,101158,"+",879402,,"PA0082","NP_248772.1",344,"hypothetical protein PA0082"
"chromosome","NC_002516.2",101247,101765,"+",879476,,"PA0083","NP_248773.1",172,"hypothetical protein PA0083"
"chromosome","NC_002516.2",101778,103274,"+",879464,,"PA0084","NP_248774.1",498,"hypothetical protein PA0084"
"chromosome","NC_002516.2",103350,103838,"+",879446,"hcp1","PA0085","NP_248775.1",162,"protein secretion apparatus assembly protein"
"chromosome","NC_002516.2",104006,104851,"+",879504,,"PA0086","NP_248776.1",281,"hypothetical protein PA0086"
"chromosome","NC_002516.2",104853,105362,"+",879495,,"PA0087","NP_248777.1",169,"hypothetical protein PA0087"
"chromosome","NC_002516.2",105359,107218,"+",879483,,"PA0088","NP_248778.1",619,"hypothetical protein PA0088"
"chromosome","NC_002516.2",107182,108228,"+",879573,,"PA0089","NP_248779.1",348,"hypothetical protein PA0089"
"chromosome","NC_002516.2",108221,110929,"+",879553,"clpV1","PA0090","NP_248780.1",902,"secretion protein ClpV1"
"chromosome","NC_002516.2",110976,112907,"+",879511,"vgrG1","PA0091","NP_248781.1",643,"type VI secretion system protein VgrG"
"chromosome","NC_002516.2",113022,113306,"-",880664,,"PA0092","NP_248782.1",94,"hypothetical protein PA0092"
"chromosome","NC_002516.2",113303,114595,"-",880654,,"PA0093","NP_248783.1",430,"hypothetical protein PA0093"
"chromosome","NC_002516.2",114611,115045,"-",879595,,"PA0094","NP_248784.1",144,"hypothetical protein PA0094"
"chromosome","NC_002516.2",115299,117524,"+",880726,,"PA0095","NP_248785.1",741,"hypothetical protein PA0095"
"chromosome","NC_002516.2",117552,118001,"+",880714,,"PA0096","NP_248786.1",149,"hypothetical protein PA0096"
"chromosome","NC_002516.2",117931,119130,"+",880677,,"PA0097","NP_248787.1",399,"hypothetical protein PA0097"
"chromosome","NC_002516.2",119127,120164,"+",880743,,"PA0098","NP_248788.1",345,"3-oxoacyl-ACP synthase"
"chromosome","NC_002516.2",120164,121324,"+",880737,,"PA0099","NP_248789.1",386,"hypothetical protein PA0099"
"chromosome","NC_002516.2",121346,122266,"+",880727,,"PA0100","NP_248790.1",306,"hypothetical protein PA0100"
"chromosome","NC_002516.2",122248,123495,"+",880786,,"PA0101","NP_248791.1",415,"hypothetical protein PA0101"
"chromosome","NC_002516.2",123871,124599,"+",880767,,"PA0102","NP_248792.1",242,"carbonic anhydrase"
"chromosome","NC_002516.2",124810,126381,"+",880802,,"PA0103","NP_248793.1",523,"sulfate transporter"
"chromosome","NC_002516.2",126368,127006,"-",17373338,,"PA0103a","YP_008719730.1",212,"hypothetical protein PA0103a"
"chromosome","NC_002516.2",127378,128502,"+",881940,"coxB","PA0105","NP_248795.1",374,"cytochrome C oxidase subunit II"
"chromosome","NC_002516.2",128512,130104,"+",881877,"coxA","PA0106","NP_248796.1",530,"cytochrome C oxidase subunit I"
"chromosome","NC_002516.2",130115,130669,"+",882009,,"PA0107","NP_248797.1",184,"cytochrome C oxidase assembly protein"
"chromosome","NC_002516.2",130680,131567,"+",882001,"coIII","PA0108","NP_248798.1",295,"cytochrome C oxidase subunit III"
"chromosome","NC_002516.2",131583,131792,"-",882044,,"PA0109","NP_248799.1",69,"hypothetical protein PA0109"
"chromosome","NC_002516.2",131808,132602,"+",879416,,"PA0110","NP_248800.1",264,"hypothetical protein PA0110"
"chromosome","NC_002516.2",132577,133155,"+",879275,,"PA0111","NP_248801.1",192,"hypothetical protein PA0111"
"chromosome","NC_002516.2",133220,134293,"+",879408,,"PA0112","NP_248802.1",357,"hypothetical protein PA0112"
"chromosome","NC_002516.2",134319,135233,"+",879395,,"PA0113","NP_248803.1",304,"protoheme IX farnesyltransferase"
"chromosome","NC_002516.2",135259,135894,"+",879388,"senC","PA0114","NP_248804.1",211,"cytochrome c oxidase assembly protein SenC"
"chromosome","NC_002516.2",135934,136386,"-",880693,,"PA0115","NP_248805.1",150,"hypothetical protein PA0115"
"chromosome","NC_002516.2",136518,136991,"+",877577,,"PA0116","NP_248806.1",157,"hypothetical protein PA0116"
"chromosome","NC_002516.2",137248,137976,"+",878370,,"PA0117","NP_248807.1",242,"short-chain dehydrogenase"
"chromosome","NC_002516.2",138001,138588,"+",877585,,"PA0118","NP_248808.1",195,"hypothetical protein PA0118"
"chromosome","NC_002516.2",138818,140167,"+",877578,,"PA0119","NP_248809.1",449,"C4-dicarboxylate transporter DctA"
"chromosome","NC_002516.2",140216,140902,"+",878231,,"PA0120","NP_248810.1",228,"transcriptional regulator"
"chromosome","NC_002516.2",141003,141737,"+",878358,,"PA0121","NP_248811.1",244,"hypothetical protein PA0121"
"chromosome","NC_002516.2",141917,142327,"+",880611,,"PA0122","NP_248812.1",136,"hypothetical protein PA0122"
"chromosome","NC_002516.2",142359,143267,"-",877571,,"PA0123","NP_248813.1",302,"transcriptional regulator"
"chromosome","NC_002516.2",143567,143848,"-",879205,,"PA0124","NP_248814.1",93,"hypothetical protein PA0124"
"chromosome","NC_002516.2",143845,144072,"-",880838,,"PA0125","NP_248815.1",75,"hypothetical protein PA0125"
"chromosome","NC_002516.2",144248,144868,"-",880627,,"PA0126","NP_248816.1",206,"hypothetical protein PA0126"
"chromosome","NC_002516.2",144969,145469,"+",880815,,"PA0127","NP_248817.1",166,"hypothetical protein PA0127"
"chromosome","NC_002516.2",145542,145883,"+",880831,,"PA0128","NP_248818.1",113,"hypothetical protein PA0128"
"chromosome","NC_002516.2",145965,147392,"-",880844,"gabP","PA0129","NP_248819.1",475,"gamma-aminobutyrate permease"
"chromosome","NC_002516.2",147561,149054,"-",880875,,"PA0130","NP_248820.1",497,"3-oxopropanoate dehydrogenase"
"chromosome","NC_002516.2",149138,149425,"-",878383,,"PA0131","NP_248821.1",95,"beta-alanine degradation protein BauB"
"chromosome","NC_002516.2",149425,150771,"-",879350,,"PA0132","NP_248822.1",448,"beta alanine--pyruvate transaminase"
"chromosome","NC_002516.2",150906,151823,"+",879432,,"PA0133","NP_248823.1",305,"HTH-type transcriptional activator BauR"
"chromosome","NC_002516.2",151936,153306,"-",879331,,"PA0134","NP_248824.1",456,"guanine deaminase"
"chromosome","NC_002516.2",153696,153836,"+",879398,,"PA0135","NP_248825.1",46,"hypothetical protein PA0135"
"chromosome","NC_002516.2",154417,155988,"+",879471,,"PA0136","NP_248826.1",523,"ABC transporter ATP-binding protein"
"chromosome","NC_002516.2",155988,157085,"+",879286,,"PA0137","NP_248827.1",365,"ABC transporter permease"
"chromosome","NC_002516.2",157108,158034,"+",879399,,"PA0138","NP_248828.1",308,"ABC transporter permease"
"chromosome","NC_002516.2",158199,158762,"+",879431,"ahpC","PA0139","NP_248829.1",187,"alkyl hydroperoxide reductase"
"chromosome","NC_002516.2",158907,160472,"+",879326,"ahpF","PA0140","NP_248830.1",521,"alkyl hydroperoxide reductase"
"chromosome","NC_002516.2",160552,161448,"-",879494,,"PA0141","NP_248831.1",298,"hypothetical protein PA0141"
"chromosome","NC_002516.2",161906,163255,"+",879447,,"PA0142","NP_248832.1",449,"8-oxoguanine deaminase"
"chromosome","NC_002516.2",163363,164415,"+",879451,"nuh","PA0143","NP_248833.2",350,"nonspecific ribonucleoside hydrolase"
"chromosome","NC_002516.2",164443,165069,"-",879242,,"PA0144","NP_248834.1",208,"hypothetical protein PA0144"
"chromosome","NC_002516.2",165219,165737,"-",879449,,"PA0145","NP_248835.1",172,"hypothetical protein PA0145"
"chromosome","NC_002516.2",165976,167073,"+",879465,,"PA0146","NP_248836.1",365,"hypothetical protein PA0146"
"chromosome","NC_002516.2",167146,168108,"+",879502,,"PA0147","NP_248837.1",320,"oxidoreductase"
"chromosome","NC_002516.2",168213,169163,"+",879249,,"PA0148","NP_248838.1",316,"adenosine deaminase"
"chromosome","NC_002516.2",169361,169906,"+",879673,,"PA0149","NP_248839.1",181,"ECF subfamily sigma-70 factor"
"chromosome","NC_002516.2",169903,170898,"+",878563,,"PA0150","NP_248840.1",331,"transmembrane sensor"
"chromosome","NC_002516.2",171047,173434,"+",877893,,"PA0151","NP_248841.1",795,"TonB-dependent receptor"
"chromosome","NC_002516.2",173811,174638,"+",878518,"pcaQ","PA0152","NP_248842.1",275,"transcriptional regulator PcaQ"
"chromosome","NC_002516.2",174773,175492,"+",878130,"pcaH","PA0153","NP_248843.1",239,"protocatechuate 3,4-dioxygenase subunit beta"
"chromosome","NC_002516.2",175503,176108,"+",882145,"pcaG","PA0154","NP_248844.1",201,"protocatechuate 3,4-dioxygenase subunit alpha"
"chromosome","NC_002516.2",176315,177154,"+",882136,"pcaR","PA0155","NP_248845.1",279,"transcriptional regulator PcaR"
"chromosome","NC_002516.2",177307,178458,"+",882149,,"PA0156","NP_248846.1",383,"resistance-nodulation-cell division (RND) efflux membrane fusion protein"
"chromosome","NC_002516.2",178455,179525,"+",882134,,"PA0157","NP_248847.1",356,"resistance-nodulation-cell division (RND) efflux membrane fusion protein"
"chromosome","NC_002516.2",179522,182569,"+",882140,,"PA0158","NP_248848.1",1015,"resistance-nodulation-cell division (RND) efflux transporter"
"chromosome","NC_002516.2",182768,183706,"+",882081,,"PA0159","NP_248849.1",312,"transcriptional regulator"
"chromosome","NC_002516.2",183822,184007,"+",882103,,"PA0160","NP_248850.1",61,"hypothetical protein PA0160"
"chromosome","NC_002516.2",184594,185928,"+",879518,"opdC","PA0162","NP_248852.1",444,"histidine porin OpdC"
"chromosome","NC_002516.2",185957,186754,"-",882025,,"PA0163","NP_248853.1",265,"transcriptional regulator"
"chromosome","NC_002516.2",186832,188448,"+",879444,,"PA0164","NP_248854.1",538,"gamma-glutamyltranspeptidase"
"chromosome","NC_002516.2",189120,189956,"+",879418,,"PA0165","NP_248855.1",278,"hypothetical protein PA0165"
"chromosome","NC_002516.2",190198,191604,"+",879314,,"PA0166","NP_248856.1",468,"transporter"
"chromosome","NC_002516.2",191697,192362,"+",879316,,"PA0167","NP_248857.1",221,"transcriptional regulator"
"chromosome","NC_002516.2",192368,192958,"+",879343,,"PA0168","NP_248858.1",196,"hypothetical protein PA0168"
"chromosome","NC_002516.2",192965,193672,"-",879346,,"PA0169","NP_248859.1",235,"hypothetical protein PA0169"
"chromosome","NC_002516.2",193799,194179,"-",878493,,"PA0170","NP_248860.1",126,"hypothetical protein PA0170"
"chromosome","NC_002516.2",194206,194748,"-",882156,,"PA0171","NP_248861.1",180,"hypothetical protein PA0171"
"chromosome","NC_002516.2",194757,196748,"-",879545,,"PA0172","NP_248862.1",663,"hypothetical protein PA0172"
"chromosome","NC_002516.2",197011,198060,"-",882256,,"PA0173","NP_248863.1",349,"chemotaxis response regulator protein-glutamate methylesterase"
"chromosome","NC_002516.2",198080,198682,"-",877836,,"PA0174","NP_248864.1",200,"hypothetical protein PA0174"
"chromosome","NC_002516.2",198688,199530,"-",882282,,"PA0175","NP_248865.1",280,"chemotaxis protein methyltransferase"
"chromosome","NC_002516.2",199600,201639,"-",882219,"aer2","PA0176","NP_248866.1",679,"aerotaxis transducer Aer2"
"chromosome","NC_002516.2",201675,202160,"-",879338,,"PA0177","NP_248867.1",161,"purine-binding chemotaxis protein"
"chromosome","NC_002516.2",202147,204066,"-",878420,,"PA0178","NP_248868.1",639,"two-component sensor"
"chromosome","NC_002516.2",204094,204459,"-",879259,,"PA0179","NP_248869.1",121,"two-component response regulator"
"chromosome","NC_002516.2",204657,205829,"-",879336,"cttP","PA0180","NP_248870.1",390,"trichloroethylene chemotactic transducer CttP"
"chromosome","NC_002516.2",206022,206954,"-",879304,,"PA0181","NP_248871.1",310,"transcriptional regulator"
"chromosome","NC_002516.2",207071,207823,"+",878164,,"PA0182","NP_248872.1",250,"3-ketoacyl-ACP reductase"
"chromosome","NC_002516.2",207923,209533,"-",879288,"atsA","PA0183","NP_248873.1",536,"arylsulfatase"
"chromosome","NC_002516.2",209621,210460,"-",882170,,"PA0184","NP_248874.1",279,"ABC transporter ATP-binding protein"
"chromosome","NC_002516.2",210457,212073,"-",879256,,"PA0185","NP_248875.1",538,"ABC transporter permease"
"chromosome","NC_002516.2",212340,213401,"+",879411,,"PA0186","NP_248876.1",353,"ABC transporter"
"chromosome","NC_002516.2",213819,214634,"+",882255,,"PA0187","NP_248877.1",271,"hypothetical protein PA0187"
"chromosome","NC_002516.2",214631,215512,"+",879289,,"PA0188","NP_248878.1",293,"hypothetical protein PA0188"
"chromosome","NC_002516.2",215550,216908,"-",883120,,"PA0189","NP_248879.1",452,"porin"
"chromosome","NC_002516.2",217156,217881,"+",883097,,"PA0190","NP_248880.1",241,"acid phosphatase"
"chromosome","NC_002516.2",217905,218822,"-",883101,,"PA0191","NP_248881.1",305,"transcriptional regulator"
"chromosome","NC_002516.2",219172,221544,"+",882990,,"PA0192","NP_248882.1",790,"TonB-dependent receptor"
"chromosome","NC_002516.2",221585,222487,"+",883039,,"PA0193","NP_248883.1",300,"hypothetical protein PA0193"
"chromosome","NC_002516.2",222555,223454,"+",879577,,"PA0194","NP_248884.1",299,"hypothetical protein PA0194"
"chromosome","NC_002516.2",224101,225219,"+",878345,"pntAA","PA0195","NP_248885.1",372,"NAD(P) transhydrogenase subunit alpha"
"chromosome","NC_002516.2",225295,225603,"+",878346,"pntAB","PA0195.1","NP_248886.2",102,"NAD(P) transhydrogenase subunit alpha"
"chromosome","NC_002516.2",225603,227039,"+",878146,"pntB","PA0196","NP_248887.1",478,"pyridine nucleotide transhydrogenase subunit beta"
"chromosome","NC_002516.2",227382,228194,"+",879472,"tonB2","PA0197","NP_248888.1",270,"transporter TonB"
"chromosome","NC_002516.2",228223,228942,"+",883080,"exbB1","PA0198","NP_248889.1",239,"transporter ExbB"
"chromosome","NC_002516.2",228944,229345,"+",879490,"exbD1","PA0199","NP_248890.1",133,"biopolymer transport protein ExbD"
"chromosome","NC_002516.2",229526,229738,"-",879623,,"PA0200","NP_248891.1",70,"hypothetical protein PA0200"
"chromosome","NC_002516.2",229954,230535,"+",879531,,"PA0201","NP_248892.1",193,"hypothetical protein PA0201"
"chromosome","NC_002516.2",230543,232000,"-",879445,,"PA0202","NP_248893.1",485,"amidase"
"chromosome","NC_002516.2",232066,233100,"-",883108,,"PA0203","NP_248894.1",344,"ABC transporter"
"chromosome","NC_002516.2",233123,233932,"-",878513,,"PA0204","NP_248895.1",269,"ABC transporter permease"
"chromosome","NC_002516.2",233929,234849,"-",879480,,"PA0205","NP_248896.1",306,"ABC transporter permease"
"chromosome","NC_002516.2",234875,235987,"-",879760,,"PA0206","NP_248897.1",370,"spermidine/putrescine ABC transporter ATP-binding protein"
"chromosome","NC_002516.2",236218,237111,"+",879460,,"PA0207","NP_248898.1",297,"transcriptional regulator"
"chromosome","NC_002516.2",237232,238896,"+",879322,"mdcA","PA0208","NP_248899.1",554,"malonate decarboxylase subunit alpha"
"chromosome","NC_002516.2",238896,239777,"+",879248,,"PA0209","NP_248900.1",293,"2-(5\\'\\'-triphosphoribosyl)-3\\'-dephosphocoenzyme-A synthase"
"chromosome","NC_002516.2",239779,240078,"+",883035,"mdcC","PA0210","NP_248901.1",99,"malonate decarboxylase acyl carrier protein"
"chromosome","NC_002516.2",240071,240934,"+",879489,"mdcD","PA0211","NP_248902.1",287,"malonate decarboxylase subunit beta"
"chromosome","NC_002516.2",240931,241737,"+",879507,"mdcE","PA0212","NP_248903.1",268,"malonate decarboxylase subunit gamma"
"chromosome","NC_002516.2",241753,242445,"+",879254,,"PA0213","NP_248904.1",230,"phosphoribosyl-dephospho-CoA transferase"
"chromosome","NC_002516.2",242442,243374,"+",879334,,"PA0214","NP_248905.1",310,"acyl transferase"
"chromosome","NC_002516.2",243431,243835,"+",883110,,"PA0215","NP_248906.1",134,"malonate transporter MadL"
"chromosome","NC_002516.2",243841,244605,"+",879529,,"PA0216","NP_248907.1",254,"malonate transporter MadM"
"chromosome","NC_002516.2",244690,245619,"-",883005,,"PA0217","NP_248908.1",309,"transcriptional regulator"
"chromosome","NC_002516.2",245948,246868,"-",877906,,"PA0218","NP_248909.1",306,"transcriptional regulator"
"chromosome","NC_002516.2",247219,248709,"+",879237,,"PA0219","NP_248910.1",496,"aldehyde dehydrogenase"
"chromosome","NC_002516.2",248767,250200,"+",879442,,"PA0220","NP_248911.1",477,"amino acid APC family transporter"
"chromosome","NC_002516.2",250231,251613,"+",879365,,"PA0221","NP_248912.1",460,"aminotransferase"
"chromosome","NC_002516.2",251777,252835,"+",877806,,"PA0222","NP_248913.1",352,"hypothetical protein PA0222"
"chromosome","NC_002516.2",252913,253794,"-",878110,,"PA0223","NP_248914.1",293,"dihydrodipicolinate synthetase"
"chromosome","NC_002516.2",253854,254636,"-",878177,,"PA0224","NP_248915.1",260,"class II aldolase/adducin domain-containing protein"
"chromosome","NC_002516.2",254791,255330,"+",880191,,"PA0225","NP_248916.1",179,"transcriptional regulator"
"chromosome","NC_002516.2",255481,256332,"+",878086,,"PA0226","NP_248917.1",283,"CoA transferase subunit A"
"chromosome","NC_002516.2",256329,257111,"+",877818,,"PA0227","NP_248918.1",260,"CoA transferase subunit B"
"chromosome","NC_002516.2",257108,258313,"+",877715,"pcaF","PA0228","NP_248919.1",401,"beta-ketoadipyl CoA thiolase"
"chromosome","NC_002516.2",258463,259761,"+",878155,"pcaT","PA0229","NP_248920.1",432,"dicarboxylic acid transporter PcaT"
"chromosome","NC_002516.2",259784,261163,"+",881957,"pcaB","PA0230","NP_248921.1",459,"3-carboxy-cis,cis-muconate cycloisomerase"
"chromosome","NC_002516.2",261179,261970,"+",882150,"pcaD","PA0231","NP_248922.1",263,"3-oxoadipate enol-lactonase"
"chromosome","NC_002516.2",261981,262382,"+",882116,"pcaC","PA0232","NP_248923.1",133,"4-carboxymuconolactone decarboxylase"
"chromosome","NC_002516.2",262557,263498,"+",877707,,"PA0233","NP_248924.1",313,"transcriptional regulator"
"chromosome","NC_002516.2",263689,264522,"+",881909,,"PA0234","NP_248925.1",277,"hypothetical protein PA0234"
